Status,Time,Pitch,Yaw,Roll,Xmin,Ymin,Xmax,Ymax
Pose,19:20:17,22.19,-3.54,-10.66,0.5205,0.5371,0.7998,0.9111
Pose,19:20:17,19.47,-3.21,-7.39,0.5186,0.5386,0.7979,0.9175
Pose,19:20:17,18.52,2.30,-12.08,0.5190,0.5396,0.7983,0.9194
Pose,19:20:17,17.66,-2.17,-8.72,0.5205,0.5410,0.7979,0.9131
Pose,19:20:17,14.12,3.43,-7.84,0.5190,0.5415,0.7974,0.9194
Pose,19:20:17,20.56,3.27,-6.92,0.5176,0.5430,0.7988,0.9131
Pose,19:20:18,17.08,3.32,-5.48,0.5161,0.5444,0.7993,0.9126
Pose,19:20:18,15.02,0.41,-3.99,0.5151,0.5430,0.7993,0.9131
Pose,19:20:18,16.64,-0.25,-5.45,0.5151,0.5430,0.7993,0.9121
Pose,19:20:18,15.61,0.55,-4.84,0.5127,0.5386,0.7988,0.9146
Pose,19:20:18,15.88,1.61,-1.74,0.5132,0.5366,0.7983,0.9165
Pose,19:20:18,13.06,3.79,-5.49,0.5156,0.5381,0.8008,0.9199
Pose,19:20:18,13.69,-1.91,-7.28,0.5156,0.5347,0.7988,0.9165
Pose,19:20:18,13.94,3.38,-6.17,0.5186,0.5308,0.7998,0.9185
Pose,19:20:18,17.95,4.68,-8.88,0.5205,0.5225,0.7998,0.9238
Pose,19:20:18,6.70,-3.00,-12.34,0.5205,0.5186,0.7998,0.9160
Pose,19:20:18,11.41,-1.99,-11.33,0.5244,0.5156,0.8027,0.9238
Pose,19:20:18,12.22,-2.08,-12.73,0.5259,0.5215,0.8032,0.9248
Pose,19:20:18,13.30,-2.42,-13.47,0.5249,0.5181,0.8022,0.9302
Pose,19:20:18,18.78,0.66,-13.53,0.5249,0.5195,0.8032,0.9365
Pose,19:20:18,16.88,-2.42,-12.62,0.5259,0.5200,0.8042,0.9438
Pose,19:20:18,14.38,-2.42,-12.34,0.5249,0.5259,0.8032,0.9399
Pose,19:20:18,17.14,-1.65,-13.83,0.5234,0.5283,0.8027,0.9395
Pose,19:20:18,17.05,-0.10,-11.61,0.5259,0.5283,0.8032,0.9297
Pose,19:20:18,25.08,2.14,-11.34,0.5249,0.5293,0.8032,0.9287
Pose,19:20:18,25.77,4.31,-10.12,0.5288,0.5264,0.8062,0.9326
Pose,19:20:18,22.39,0.10,-12.00,0.5278,0.5220,0.8052,0.9312
Pose,19:20:18,15.83,4.75,-6.48,0.5312,0.5229,0.8066,0.9312
Pose,19:20:18,18.95,2.34,-8.55,0.5283,0.5234,0.8066,0.9287
Pose,19:20:18,16.62,0.96,-11.59,0.5259,0.5200,0.8042,0.9292
Pose,19:20:18,11.17,-0.09,-8.76,0.5234,0.5220,0.8027,0.9253
Pose,19:20:18,13.25,1.12,-10.55,0.5259,0.5190,0.8042,0.9263
Pose,19:20:18,12.81,0.27,-10.34,0.5259,0.5190,0.8042,0.9263
Pose,19:20:18,15.44,1.63,-9.42,0.5234,0.5210,0.8037,0.9243
Pose,19:20:18,12.83,-1.59,-10.97,0.5229,0.5215,0.8022,0.9209
Pose,19:20:18,9.43,0.16,-10.43,0.5234,0.5195,0.8018,0.9248
Pose,19:20:18,9.42,-2.54,-9.06,0.5225,0.5195,0.8018,0.9189
Pose,19:20:19,7.61,-3.51,-12.17,0.5225,0.5225,0.8018,0.9248
Pose,19:20:19,6.92,-0.78,-11.56,0.5220,0.5186,0.8003,0.9238
Pose,19:20:19,12.75,1.37,-9.55,0.5229,0.5195,0.8013,0.9258
Pose,19:20:19,15.23,-0.06,-11.80,0.5215,0.5220,0.7988,0.9194
Pose,19:20:19,12.33,0.17,-12.59,0.5205,0.5229,0.7988,0.9243
Pose,19:20:19,14.66,-2.74,-14.61,0.5210,0.5244,0.7983,0.9199
Pose,19:20:19,19.14,1.29,-13.27,0.5195,0.5244,0.7979,0.9229
Pose,19:20:19,10.50,5.33,-11.02,0.5200,0.5234,0.7974,0.9297
Pose,19:20:19,13.25,6.46,-11.88,0.5190,0.5229,0.7983,0.9292
Pose,19:20:19,9.14,2.66,-11.34,0.5195,0.5293,0.7959,0.9307
Pose,19:20:19,18.02,1.39,-10.59,0.5166,0.5342,0.7988,0.9287
Pose,19:20:19,18.45,2.61,-9.02,0.5156,0.5371,0.7979,0.9297
Pose,19:20:19,15.03,-0.12,-12.45,0.5166,0.5337,0.7969,0.9292
Pose,19:20:19,16.83,0.34,-11.47,0.5107,0.5371,0.7959,0.9229
Pose,19:20:19,12.22,-4.23,-9.13,0.5137,0.5376,0.7959,0.9233
Pose,19:20:19,10.73,-4.34,-11.75,0.5103,0.5366,0.7944,0.9263
Pose,19:20:19,12.88,-3.27,-10.53,0.5078,0.5342,0.7979,0.9258
Pose,19:20:19,13.73,-5.64,-11.95,0.5063,0.5361,0.7954,0.9189
Pose,19:20:19,16.91,-6.68,-10.56,0.5059,0.5400,0.7949,0.9131
Pose,19:20:19,17.81,-5.36,-13.50,0.5049,0.5327,0.7969,0.9185
Pose,19:20:19,14.06,-7.36,-14.12,0.5049,0.5303,0.7959,0.9209
Pose,19:20:19,8.40,-7.27,-11.97,0.5049,0.5322,0.7930,0.9238
Pose,19:20:19,11.50,-3.59,-10.02,0.5024,0.5303,0.7935,0.9229
Pose,19:20:19,11.39,-3.29,-9.16,0.4995,0.5269,0.7944,0.9243
Pose,19:20:19,9.40,-3.47,-10.56,0.4990,0.5249,0.7939,0.9214
Pose,19:20:19,14.08,-3.59,-10.86,0.4980,0.5269,0.7920,0.9214
Pose,19:20:19,10.69,-3.37,-11.00,0.4976,0.5239,0.7935,0.9263
Pose,19:20:19,15.95,-1.88,-8.70,0.4985,0.5239,0.7915,0.9214
Pose,19:20:19,9.38,-1.98,-8.31,0.4985,0.5254,0.7915,0.9238
Pose,19:20:20,12.97,-1.85,-8.97,0.4971,0.5259,0.7910,0.9224
Pose,19:20:20,11.20,-2.73,-9.03,0.4985,0.5259,0.7905,0.9243
Pose,19:20:20,8.71,-2.33,-8.56,0.4976,0.5254,0.7935,0.9238
Pose,19:20:20,10.57,-2.32,-10.65,0.4978,0.5254,0.7920,0.9229
Pose,19:20:20,12.50,-2.54,-7.05,0.4976,0.5264,0.7925,0.9209
Pose,19:20:20,14.11,-5.71,-10.42,0.4958,0.5264,0.7930,0.9189
Pose,19:20:20,12.36,-3.91,-9.95,0.4971,0.5293,0.7920,0.9229
Pose,19:20:20,11.58,-4.08,-10.64,0.4956,0.5317,0.7915,0.9194
Pose,19:20:20,15.08,-2.10,-10.79,0.4971,0.5303,0.7920,0.9229
Pose,19:20:20,15.03,-1.71,-9.70,0.4951,0.5322,0.7920,0.9199
Pose,19:20:20,18.12,-0.59,-9.44,0.4966,0.5303,0.7925,0.9229
Pose,19:20:20,19.67,0.16,-8.57,0.5010,0.5273,0.7900,0.9258
Pose,19:20:20,14.59,0.84,-7.94,0.5020,0.5298,0.7891,0.9331
Pose,19:20:20,20.17,-1.03,-8.19,0.5049,0.5239,0.7861,0.9321
Pose,19:20:20,18.66,0.69,-6.30,0.5005,0.5303,0.7876,0.9258
Pose,19:20:20,19.67,3.57,-4.75,0.5000,0.5288,0.7852,0.9253
Pose,19:20:20,15.22,2.46,-3.93,0.5000,0.5259,0.7852,0.9292
Pose,19:20:20,16.56,-1.64,-10.22,0.4946,0.5293,0.7798,0.9336
Pose,19:20:20,16.62,0.07,-8.88,0.4980,0.5278,0.7783,0.9399
Pose,19:20:20,13.42,-1.00,-1.35,0.4990,0.5288,0.7725,0.9302
Pose,19:20:20,9.55,-1.70,-4.42,0.4956,0.5273,0.7749,0.9316
Pose,19:20:20,8.01,0.56,-0.55,0.4988,0.5278,0.7686,0.9282
Pose,19:20:20,11.72,-3.62,-5.02,0.4963,0.5244,0.7734,0.9385
Pose,19:20:20,10.47,-1.90,-4.05,0.4929,0.5298,0.7725,0.9390
Pose,19:20:20,10.92,-5.51,-6.27,0.4917,0.5327,0.7710,0.9438
Pose,19:20:20,11.20,-3.14,-7.73,0.4917,0.5327,0.7739,0.9390
Pose,19:20:20,9.44,-5.57,-7.17,0.4907,0.5308,0.7720,0.9448
Pose,19:20:20,13.94,-7.14,-7.59,0.4912,0.5337,0.7715,0.9409
Pose,19:20:20,13.23,-6.97,-9.03,0.4902,0.5293,0.7715,0.9453
Pose,19:20:20,11.95,-4.94,-8.12,0.4907,0.5303,0.7720,0.9443
Pose,19:20:20,9.85,-7.23,-5.99,0.4897,0.5293,0.7700,0.9443
Pose,19:20:21,8.25,-2.22,-5.84,0.4907,0.5303,0.7700,0.9355
Pose,19:20:21,11.78,-4.36,-6.82,0.4902,0.5308,0.7705,0.9458
Pose,19:20:21,12.69,-5.64,-4.59,0.4888,0.5322,0.7690,0.9434
Pose,19:20:21,13.55,-2.18,-1.81,0.4897,0.5312,0.7700,0.9473
Pose,19:20:21,8.82,-3.42,-3.94,0.4900,0.5312,0.7695,0.9375
Pose,19:20:21,9.55,-4.62,-2.93,0.4885,0.5347,0.7695,0.9409
Pose,19:20:21,14.50,-3.38,-6.91,0.4902,0.5322,0.7715,0.9395
Pose,19:20:21,11.59,-4.30,-4.67,0.4907,0.5312,0.7690,0.9414
Pose,19:20:21,14.42,-3.47,-9.58,0.4915,0.5322,0.7725,0.9385
Pose,19:20:21,13.34,-4.17,-5.86,0.4900,0.5342,0.7715,0.9404
Pose,19:20:21,17.11,-2.93,-7.69,0.4902,0.5332,0.7734,0.9375
Pose,19:20:21,15.25,-2.95,-6.89,0.4907,0.5332,0.7710,0.9414
Pose,19:20:21,19.39,-2.27,-10.00,0.4897,0.5332,0.7729,0.9355
Pose,19:20:21,12.45,-2.92,-4.93,0.4893,0.5352,0.7705,0.9355
Pose,19:20:21,16.17,-4.45,-8.52,0.4905,0.5312,0.7715,0.9443
Pose,19:20:21,14.61,-1.52,-7.67,0.4902,0.5322,0.7705,0.9463
Pose,19:20:21,10.91,-4.09,-5.03,0.4883,0.5327,0.7695,0.9448
Pose,19:20:21,14.86,-1.89,-7.31,0.4893,0.5312,0.7705,0.9443
Pose,19:20:21,13.77,-1.34,-10.47,0.4907,0.5317,0.7710,0.9468
Pose,19:20:21,8.38,0.76,-3.31,0.4893,0.5308,0.7686,0.9399
Pose,19:20:21,16.81,-1.46,-9.81,0.4890,0.5317,0.7695,0.9448
Pose,19:20:21,11.62,-0.85,-8.79,0.4888,0.5322,0.7700,0.9482
Pose,19:20:21,8.41,-1.47,-5.91,0.4863,0.5347,0.7686,0.9370
Pose,19:20:21,10.66,-2.24,-6.78,0.4863,0.5342,0.7705,0.9453
Pose,19:20:21,13.80,-3.14,-6.00,0.4841,0.5376,0.7695,0.9380
Pose,19:20:21,8.20,-2.83,-8.19,0.4829,0.5361,0.7700,0.9287
Pose,19:20:21,18.31,-3.54,-5.09,0.4819,0.5361,0.7671,0.9219
Pose,19:20:21,7.73,-5.06,-7.74,0.4810,0.5391,0.7671,0.9346
Pose,19:20:21,10.23,-6.08,-9.86,0.4822,0.5376,0.7686,0.9263
Pose,19:20:21,19.81,-6.80,-9.42,0.4824,0.5435,0.7695,0.9214
Pose,19:20:22,18.08,-4.30,-8.17,0.4844,0.5420,0.7695,0.9258
Pose,19:20:22,21.69,-4.11,-10.23,0.4849,0.5410,0.7710,0.9258
Pose,19:20:22,11.72,-3.44,-13.03,0.4836,0.5400,0.7666,0.9248
